Where, Area,VENUE,WEBSITE LINK,WIFI,WIFI PASSWORDS/NETWORK,PLUG SOCKETS,MENU,£,STAFF,STARS,PRICE OF A CUP OF COFFEE,ACCESSIBLE? (steps etc),ANYTHING ELSE?
North London,Archway,Bread and Bean,,Fine,,,"Mainly fancy sandwiches and cakes, and a few other options.",££,All nice; although some a little brusque at times,3.5,,,"Looks quite small from the outside, but there's a back room as well so don't worry if looks busy from outside."
Central London,Bank,Merchant House of Bow Lane,http://www.merchanthouselondon.com/bow-lane,Sometimes flaky but usually quite passable,,,"Cocktail bar with good tea and coffee, some small plates",££,"Extremely friendly and chilled out, during the day they like the company more than the cash",5,£3.50,"Level entrance to the upstairs pantry, steps to main bar (pantry is a better place to work though)",Open from 11am until late. Best cocktails in London when you're finished working ;)
Central London,Bankside,Citizen M,https://www.citizenm.com/destinations/london/london-bankside-hotel,Excellent,"No password, just accept their T&Cs",Plentiful,Breakfast & Lunch buffets. Fully stocked bar.,££,Very friendly,5,£2.50,,"Walk into the hotel lobby and sit down. 
Plenty of times I've bought nothing if it's busy enough to get away with it."
South-west London,Battersea,Battersea Arts Centre,www.bac.org.uk,Good and consistent,Open network,Plenty,Limited food,£,"Really friendly and good atmosphere. Gets busy around performances, but in downtime it is often empty.",5,2,"Accessible, although location is a bus stop away from nearest tube.",Can get very noisy in peak times.
South-west London,Battersea,Social Pantry,https://socialpantry.co.uk,Good,Open network,Limited – best spot is the big table down the end.,Good brunch menu and fresh salads bowls for lunch.,££,Staff quite pushy about buying more if you're there over an hour. Stagger your food!,4,3,"Accessible, although location is a bus stop away from nearest tube.",Don't sit under the air con supply. It drips and I left with a soaking bag :( 
East London,Bethnal Green,The Common E2,,Very good,,,Great breakfast dishes,££,Real nice,5,,,loads of people on laptops
Central London,Blackfriars,Merchant House of Fleet Street,http://www.merchanthouselondon.com/fleet-street/,Sometimes flaky but usually quite passable,,,"Cocktail bar with good tea and coffee, some small plates",££,"Extremely friendly and chilled out, during the day they like the company more than the cash",5,£3.50,Small staircase up (4 or 5 steps) level floor once inside,Open from 3pm until late. Smashing cocktails once you're off the clock
Central London,BLOOMSBURY,"Continental Stores (and its sister cafe, store street)",,Alright - but staff sometimes turn off over lunch,,,"A whole galaxy of fancy herbal teas and hippie lattes, salads and sandwiches, cakes that look more delicious than they are.",££,Very lovely.,4,,,Store street gets CRAZY at lunch - but it opens early
Central London,BLOOMSBURY,Dillons Coffee at Waterstones Gower Street,,Can be pretty slow,,,"Cakes and toasties, decent coffee",££,All nice,4,,,"The wifi isn't great, but it's big and thanks to being right near lots of universities is actually mostly filled with people working, which makes for a peaceful atmosphere and means staff leave you be. "
Central London,BLOOMSBURY,Institute of Historical Research Library and Common Room,http://www.history.ac.uk/library,yes for members +eduroam,,,"Jacket spuds, panini, sandwiches, cakes!",£,Lovely ,4,,,For budding historical fiction writers... Free for academics and gradute students; day or £52 per annum memberships. Try the 3rd floor for a quiet spot.
Central London,Bloomsbury / Kings Cross / Russell Square,The Observatory,https://theobservatory.org/,Good,PW: photography,Yes,"Cakes, sandwiches, toasted sandwiches, quiches and salad",££,"Chill, friendly",4,,,"There are lots of individual tables and a big basement, with a massive wooden table. Plenty of work space. Open until 6.30pm."
